variable,importance
age,0.35124090757303683
age_sq,0.34910037251894865
post,0.10030175873770841
educ_0,0.08204634282832854
educ_1,0.05504646015877242
educ_2,0.04627603165536767
educ_3,0.015988126527837432
female,0.0
