tau_hat,age,female,post,age_sq,educ_0,educ_1,educ_2,educ_3
-0.45940900777745314,33.0,0.0,0,1089.0,0,1,0,0
-0.09811693933755167,27.0,0.0,0,729.0,1,0,0,0
-0.18255604041591156,42.5,0.0,1,1806.25,1,0,0,0
0.34765531721139203,46.5,0.0,1,2162.25,0,0,1,0
-0.3174243392803859,30.5,0.0,0,930.25,1,0,0,0
-0.29361538583841423,40.0,0.0,0,1600.0,1,0,0,0
-0.40420934394530544,56.5,0.0,0,3192.25,1,0,0,0
-0.03696565850515923,40.0,0.0,1,1600.0,0,1,0,0
-0.09591973645478988,45.5,0.0,1,2070.25,0,1,0,0
-0.1529142723609156,43.5,0.0,0,1892.25,1,0,0,0
0.2992423464949232,45.5,0.0,1,2070.25,0,0,1,0
-0.4388318763910615,36.0,0.0,1,1296.0,1,0,0,0
-0.4673163204549078,50.5,0.0,0,2550.25,1,0,0,0
-0.5994151369627907,29.0,0.0,0,841.0,1,0,0,0
-0.3297146821602085,25.0,0.0,0,625.0,1,0,0,0
-0.10447091554961621,35.0,0.0,0,1225.0,1,0,0,0
-0.40044322339646743,34.5,0.0,1,1190.25,1,0,0,0
-0.3771160268259832,56.0,0.0,0,3136.0,1,0,0,0
-0.3996102182139938,40.0,0.0,0,1600.0,0,0,1,0
-0.4597111015437853,57.0,0.0,1,3249.0,1,0,0,0
0.1104739377546231,63.5,0.0,0,4032.25,0,0,1,0
-0.1436850676928662,41.0,0.0,1,1681.0,0,1,0,0
-0.0877073577266758,28.0,0.0,1,784.0,1,0,0,0
-0.2675058787681359,40.5,0.0,1,1640.25,1,0,0,0
-0.4188605879242759,20.5,0.0,1,420.25,0,1,0,0
-0.2882898584202641,31.0,0.0,0,961.0,1,0,0,0
-0.4172621391926746,44.5,0.0,1,1980.25,0,1,0,0
-0.20498794076804736,48.0,0.0,1,2304.0,0,1,0,0
-0.4970429266660671,59.5,0.0,0,3540.25,1,0,0,0
-0.5200027715160951,64.5,0.0,1,4160.25,0,0,1,0
-0.10399957115441834,50.5,0.0,1,2550.25,0,1,0,0
-0.3980125761505835,22.5,0.0,0,506.25,1,0,0,0
-0.514153533976867,60.0,0.0,0,3600.0,1,0,0,0
0.28894441230963425,29.0,0.0,1,841.0,1,0,0,0
-0.8262290771512638,33.5,0.0,0,1122.25,1,0,0,0
-0.13126339716282517,49.0,0.0,1,2401.0,1,0,0,0
-0.7232131669804202,23.0,0.0,0,529.0,0,0,1,0
-0.322023580870972,33.5,0.0,1,1122.25,0,0,1,0
-0.19414850766914807,50.5,0.0,1,2550.25,1,0,0,0
0.11035029856024368,21.0,0.0,0,441.0,0,1,0,0
-0.24210603030843036,25.0,0.0,1,625.0,1,0,0,0
-0.1860309602308109,44.0,0.0,0,1936.0,1,0,0,0
-0.18255604041591156,42.5,0.0,1,1806.25,1,0,0,0
-0.4400811782859812,38.0,0.0,1,1444.0,1,0,0,0
-0.16784615021860713,43.5,0.0,1,1892.25,1,0,0,0
-0.19414850766914807,50.5,0.0,1,2550.25,1,0,0,0
-0.26908009824161006,32.0,0.0,0,1024.0,1,0,0,0
-0.2207302915838369,59.0,0.0,0,3481.0,0,1,0,0
-0.4234178712939249,52.0,0.0,0,2704.0,1,0,0,0
-0.16037018810205253,62.5,0.0,1,3906.25,1,0,0,0
-0.5417037353956313,41.5,0.0,0,1722.25,0,1,0,0
-0.24341246294588836,25.5,0.0,1,650.25,0,1,0,0
-0.1781307151899225,48.0,0.0,1,2304.0,1,0,0,0
-0.2520825045772778,26.0,0.0,1,676.0,1,0,0,0
-0.2751543022443136,51.0,0.0,1,2601.0,0,1,0,0
-0.2675058787681359,40.5,0.0,1,1640.25,1,0,0,0
-0.16784615021860713,43.5,0.0,1,1892.25,1,0,0,0
-0.2608372608932513,32.5,0.0,1,1056.25,1,0,0,0
-0.4343509055047652,28.5,0.0,0,812.25,1,0,0,0
-0.5757195322056312,36.0,0.0,1,1296.0,0,1,0,0
-0.2879653505594242,32.0,0.0,1,1024.0,1,0,0,0
-0.20677936375367006,46.0,0.0,1,2116.0,1,0,0,0
-0.7526284582034795,33.5,0.0,1,1122.25,1,0,0,0
-0.2785076826285461,34.5,0.0,0,1190.25,1,0,0,0
-0.40420934394530544,56.5,0.0,0,3192.25,1,0,0,0
-0.24605428429943801,44.0,0.0,1,1936.0,1,0,0,0
-0.2879653505594242,32.0,0.0,1,1024.0,1,0,0,0
-0.3691315904567372,37.0,0.0,0,1369.0,0,1,0,0
