year,n_firms_with_data,total_revenue_bn,total_profit_bn,profit_margin_pct,roa_pct,median_revenue_k,median_profit_k,share_profitable_pct
2013,134620,16133.254291480998,375.567991895,2.327912181321749,3.161497970437926,8460.5,146.0,77.40380329817263
2014,141991,19491.900238272,397.684784717,2.0402566186756537,2.9123772821280407,9247.0,148.0,77.03727701051474
2018,139098,26472.074450538,425.47658692299996,1.6072657536453587,2.336810114852712,13137.0,201.0,75.26851572272786
2023,125230,40137.54796,2134.781955,5.3186655974287875,6.898545183445366,14867.0,256.0,69.61430967020682
